time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-06-18 00:00:00+00:00,15.0,11.0,122,17
2024-06-19 00:00:00+00:00,12.0,11.0,488,52
2024-06-20 00:00:00+00:00,9.0,7.0,180,28
2024-06-21 00:00:00+00:00,9.0,4.0,67,18
2024-06-22 00:00:00+00:00,5.0,5.0,126,18
2024-06-23 00:00:00+00:00,7.0,7.0,1632,131
2024-06-24 00:00:00+00:00,7.0,5.0,381,116
2024-06-25 00:00:00+00:00,4.0,4.0,357,51
2024-06-26 00:00:00+00:00,5.0,5.0,145,35
2024-06-27 00:00:00+00:00,1.0,1.0,155,43
2024-06-28 00:00:00+00:00,4.0,4.0,242,41
2024-06-29 00:00:00+00:00,7.0,3.0,156,23
2024-06-30 00:00:00+00:00,,,152,33
